Network,Program,Season,Campaign Type,Campaign Custom,Start Year,Start Month,Start Day,End Year,End Month,End Day,Campaign ID,Agency,Publisher,Buy Method,Inventory Type,Package Custom,Package ID,Episode Start,Episode End,Tentpole Details,Tactic,Device,Ad Type,Targeting Type 1,Targeting Type 2,Targeting Type 3,Targeting Type 4,Audience Type,Width,Height,Placement ID,Creative Group,Ad Custom,Ad ID,Creative Network,Creative Program,Creative Season,Creative Message,Creative Theme Custom,Creative Version Number,A/B Test Label,Video Length,Creative Start Month,Creative Start Day,Creative End Month,Creative End Day,Creative Id,Omniture Code
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,YouTube,Dynamic CPM,Run of Site,Bumpers,MTV_VMAS_TPL_ASG_YTBE_DCI_ROS_Bumpers,,,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,InStream-Retargeting,,,MTV_VMAS_TPL_X_ASG_VID_DMT_YTBE_DCI_NSV_ROS_BT-XX-XX-XX_InStream-Retargeting_X_0814-0827,Pre-Premiere,Bumpers,MTV_VMAS_TPL_PPR_YTBE_X_Bumpers,MTV,VMAs,Tentpole,Day Date Time,X,01,Not Applicable,05s,08,25,08,27,MTV_VMAS_TPL_PPR_DT_X_01_XX_05s_0825-0827,/?xrs=crm_MTV_VMAS_TPL_YTBE
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,YouTube,CPM,Run of Site,PrimetimeReminder,MTV_VMAS_TPL_ASG_YTBE_CPM_ROS_PrimetimeReminder,,,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,YTAffinityandTopic,,,MTV_VMAS_TPL_X_ASG_VID_DMT_YTBE_CPM_NSV_ROS_BT-XX-XX-XX_YTAffinityandTopic_X_0814-0827,Pre-Premiere,Bumpers-InStream-Retargeting,MTV_VMAS_TPL_PPR_YTBE_X_Bumpers-InStream-Retargeting,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),EdSheeran,01,Not Applicable,05s,08,25,08,27,MTV_VMAS_TPL_PPR_MC_EdSheeran_01_XX_05s_0825-0827,/?xrs=crm_MTV_VMAS_TPL_YTBE
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,Interest-PageLikers,MTV_VMAS_TPL_ASG_FCBK_DVW_ROS_Interest-PageLikers,,,X,Social,Desktop/Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Interest-PageLikers,,,MTV_VMAS_TPL_X_ASG_SOC_DMT_FCBK_DVW_SVD_ROS_BT-DM-XX-XX_Interest-PageLikers_X_0814-0827,Pre-Premiere,X,MTV_VMAS_TPL_PPR_FCBK_X_X,MTV,VMAs,Tentpole,Sunday,X,01,Not Applicable,30s,08,23,08,25,MTV_VMAS_TPL_PPR_SU_X_01_XX_30s_0823-0825,/?xrs=crm_MTV_VMAS_TPL_FCBK
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Instagram,Dynamic CPV (Cost per View),Run of Site,Video-Reengagement,MTV_VMAS_TPL_ASG_INGM_DVW_ROS_Video-Reengagement,,,X,Social,Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Video-Reengagement,,,MTV_VMAS_TPL_X_ASG_SOC_MTX_INGM_DVW_SVD_ROS_BT-DM-XX-XX_Video-Reengagement_X_0814-0827,Pre-Premiere,IG-Stories,MTV_VMAS_TPL_PPR_INGM_X_IG-Stories,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),30SectoMars,01,Not Applicable,05s,08,23,08,27,MTV_VMAS_TPL_PPR_MC_30SectoMars_01_XX_05s_0823-0827,/?xrs=crm_MTV_VMAS_TPL_INGM
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,Boosted-Posts,MTV_VMAS_TPL_ASG_FCBK_DVW_ROS_Boosted-Posts,,,X,Social,Desktop/Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Boosted-Posts,,,MTV_VMAS_TPL_X_ASG_SOC_DMT_FCBK_DVW_SVD_ROS_BT-DM-XX-XX_Boosted-Posts_X_0814-0827,Pre-Premiere,X,MTV_VMAS_TPL_PPR_FCBK_X_X,MTV,VMAs,Tentpole,Sunday,X,01,Not Applicable,30s,08,14,08,27,MTV_VMAS_TPL_PPR_SU_X_01_XX_30s_0814-0827,/?xrs=crm_MTV_VMAS_TPL_FCBK
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,Mid-Roll,MTV_VMAS_TPL_ASG_FCBK_DVW_ROS_Mid-Roll,,,X,Social,Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Mid-Roll,,,MTV_VMAS_TPL_X_ASG_SOC_MTX_FCBK_DVW_SVD_ROS_BT-DM-XX-XX_Mid-Roll_X_0814-0827,Pre-Premiere,X,MTV_VMAS_TPL_PPR_FCBK_X_X,MTV,VMAs,Tentpole,Tonight,X,01,Not Applicable,30s,08,27,08,27,MTV_VMAS_TPL_PPR_TN_X_01_XX_30s_0827-0827,/?xrs=crm_MTV_VMAS_TPL_FCBK
MTV,Undressed,S01,Tune-In,X,2017,08,15,2017,08,16,MTV_UNDS_S01_TI_X_20170815-20170816,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,X,MTV_UNDS_S01_ASG_FCBK_DVW_ROS_X,E01,E01,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,Demographic,None,None,X,,,MTV_UNDS_S01_E01-E01_ASG_VID_DMT_FCBK_DVW_NSV_ROS_BT-DM-XX-XX_X_X_0815-0816,Pre-Premiere,X,MTV_UNDS_S01_PPR_FCBK_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,45s,08,15,01,16,MTV_UNDS_S01_PPR_MC_X_01_XX_45s_0815-0116,/?xrs=crm_MTV_UNDS_S01_FCBK
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Snapchat,CPM,Takeover,X,MTV_VMAS_TPL_ASG_SNPC_CPM_TKR_X,,,X,Social,Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,13-34,,,MTV_VMAS_TPL_X_ASG_SOC_MTX_SNPC_CPM_SVD_TKR_BT-DM-XX-XX_13-34_X_0814-0827,Pre-Premiere,DiscoverRB,MTV_VMAS_TPL_PPR_SNPC_X_DiscoverRB,MTV,VMAs,Tentpole,Tonight,X,01,Not Applicable,30s,08,27,08,01,MTV_VMAS_TPL_PPR_TN_X_01_XX_30s_0827-0801,/?xrs=crm_MTV_VMAS_TPL_SNPC
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Twitter,Dynamic CPE (Cost per Engagement),Run of Site,LiveTweets,MTV_VMAS_TPL_ASG_TWTR_DCE_ROS_LiveTweets,,,X,Social,Desktop/Mobile/Tablet,Social Mix,Conquesting,Behavioral,None,None,LiveTweets,1,1,,Pre-Premiere,LiveTweets,MTV_VMAS_TPL_PPR_TWTR_1x1_LiveTweets,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,,08,27,08,27,,/?xrs=crm_MTV_VMAS_TPL_TWTR
Velocity,VMAs,Tentpole,Tune-In,TacoBell,2017,08,18,2017,08,27,VCT_VMAS_TPL_TI_TacoBell_20170818-20170827,ASG,Google Search,CPC,Run of Site,TacoBell,VCT_VMAS_TPL_ASG_GSRC_CPC_ROS_TacoBell,,,X,Search,Desktop/Mobile/Tablet,Text Link,None,None,None,None,TacoBell,1,1,VCT_VMAS_TPL_X_ASG_SRC_DMT_GSRC_CPC_TXT_ROS_XX-XX-XX-XX_TacoBell_1x1_0818-0827,Pre-Premiere,TacoBellVote-MC-0818-0827,VCT_VMAS_TPL_PPR_GSRC_1x1_TacoBellVote-MC-0818-0827,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),TacoBellVote,01,Not Applicable,,08,18,08,27,VCT_VMAS_TPL_PPR_MC_TacoBellVote_01_XX_1x1_0818-0827,/?xrs=crm_VCT_VMAS_TPL_GSRC
Nick Retail,JoJo at Walmart,N/A,Tune-In,X,2017,08,25,2017,09,30,NKR_JOWM_X_TI_X_20170825-20170930,ASG,Pinterest,CPM,Run of Site,X,NKR_JOWM_X_ASG_PNST_CPM_ROS_X,,,X,Social,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,X,1,1,NKR_JOWM_X_X_ASG_SOC_DMT_PNST_CPM_IMG_ROS_BT-XX-XX-XX_X_1x1_0825-0930,Consumer Product,BodaciousBow,NKR_JOWM_X_CRP_PNST_1x1_BodaciousBow,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),BodaciousBow,01,Not Applicable,,08,20,09,30,NKR_JOWM_X_CRP_MC_BodaciousBow_01_XX_1x1_0820-0930,/?xid=crm_NKR_JOWM_X_PNST
MTV,Almost Impossible Game Show,,,,2017,,,2017,,,,ASG,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,
MTV,TRL,S01,Tune-In,Phase1,2017,08,28,2017,08,28,MTV_MTRL_S01_TI_Phase1_20170828-20170828,ASG,Twitter,Dynamic CPV (Cost per View),Run of Site,X,MTV_MTRL_S01_ASG_TWTR_DVW_ROS_X,E01,E01,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,MTV_MTRL_S01_E01-E01_ASG_VID_DMT_TWTR_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0828-0828,Pre-Premiere,X,MTV_MTRL_S01_PPR_TWTR_X_X,N/A,N/A,N/A,Day Date Time,X,01,Not Applicable,15s,08,28,08,28,MTV_MTRL_S01_PPR_DT_X_01_XX_15s_0828-0828,/?xrs=crm_MTV_MTRL_S01_TWTR
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,X,NCM_IAFK_S01_ASG_FCBK_DVW_ROS_X,E01,E05,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,NCM_IAFK_S01_E01-E05_ASG_VID_DMT_FCBK_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0830-0915,Pre-Premiere,X,NCM_IAFK_S01_PPR_FCBK_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,30s,09,03,09,14,NCM_IAFK_S01_PPR_MC_X_01_XX_30s_0903-0914,/?xid=crm_NCM_IAFK_S01_FCBK
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,Snapchat,Dynamic CPM,Run of Site,X,NCM_IAFK_S01_ASG_SNPC_DCI_ROS_X,E12,E16,X,Video,Mobile/Tablet,Skippable Video,Behavioral,None,none,none,13-17,,,NCM_IAFK_S01_E12-E16_ASG_VID_MTX_SNPC_DCI_SVD_ROS_BT-XX-XX-XX_13-17_X_0830-0915,Sustaining,X,NCM_IAFK_S01_SUS_SNPC_X_X,N/A,N/A,N/A,Weeknights ,X,01,Not Applicable,10s,09,23,09,30,,/?xid=crm_NCM_IAFK_S01_SNPC
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,Instagram,Dynamic CPV (Cost per View),Run of Site,IGStories,NCM_IAFK_S01_ASG_INGM_DVW_ROS_IGStories,E01,E03,X,Video,Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,none,X,,,NCM_IAFK_S01_E01-E03_ASG_VID_MTX_INGM_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0830-0915,Pre-Premiere,IGStories,NCM_IAFK_S01_PPR_INGM_X_IGStories,N/A,N/A,N/A,OnDemand,IGStories,01,Not Applicable,30s,09,11,01,12,NCM_IAFK_S01_PPR_OD_IGStories_01_XX_30s_0911-0112,/?xid=crm_NCM_IAFK_S01_INGM
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,YouTube,Dynamic CPM,Run of Site,Bumpers,NCM_IAFK_S01_ASG_YTBE_DCI_ROS_Bumpers,E12,E16,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,Bumpers,,,NCM_IAFK_S01_E12-E16_ASG_VID_DMT_YTBE_DCI_NSV_ROS_BT-XX-XX-XX_Bumpers_X_0830-0915,Sustaining,Bumpers,NCM_IAFK_S01_SUS_YTBE_X_Bumpers,N/A,N/A,N/A,Weeknights ,Bumpers,01,Not Applicable,05s,09,26,09,30,,/?xid=crm_NCM_IAFK_S01_YTBE
MTV,TRL,S01,Social Acquisition,Phase2,2017,08,29,2017,08,29,MTV_MTRL_S01_AC_Phase2_20170829-20170829,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,X,MTV_MTRL_S01_ASG_FCBK_DVW_ROS_X,E01,E01,X,Social,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,MTV_MTRL_S01_E01-E01_ASG_SOC_DMT_FCBK_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0829-0829,Social Boost,X,MTV_MTRL_S01_SLB_FCBK_X_X,N/A,N/A,N/A,Day Date Time,X,01,Not Applicable,15s,08,29,08,29,MTV_MTRL_S01_SLB_DT_X_01_XX_15s_0829-0829,/?xrs=crm_MTV_MTRL_S01_FCBK
MTV,N/A,N/A,Site Traffic,VMA-TradeVarietyArticle,2017,08,29,2017,08,30,MTV_XXXX_X_ST_VMA-TradeVarietyArticle_20170829-20170830,ASG,Facebook,Dynamic CPC,Run of Site,VMA-TradeVarietyArticle,MTV_XXXX_X_ASG_FCBK_DCC_ROS_VMA-TradeVarietyArticle,E01,E01,X,Social,Desktop/Mobile/Tablet,Custom,Behavioral,None,None,None,VMA-TradeVarietyArticle,1,1,MTV_XXXX_X_X_ASG_SOC_DMT_FCBK_DCC_CTM_ROS_BT-XX-XX-XX_VMA-TradeVarietyArticle_1x1_0829-0830,Social Boost,VMA-TradeVarietyArticle,MTV_XXXX_X_SLB_FCBK_1x1_VMA-TradeVarietyArticle,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),VMA-TradeVarietyArticle,01,Not Applicable,,08,29,08,30,MTV_XXXX_X_SLB_MC_VMA-TradeVarietyArticle_01_XX_1x1_0829-0830,/?xrs=crm_MTV_XXXX_X_FCBK
Nick Jr,Rusty Rivets,N/A,Tune-In,X,2017,09,06,2017,09,14,NKJ_RSRV_X_TI_X_20170906-20170914,ASG,Google Search,Dynamic CPC,Run of Site,Parents,NKJ_RSRV_X_ASG_GSRC_DCC_ROS_Parents,E01,E02,X,Search,Desktop/Mobile/Tablet,Text Link,Conquesting,None,None,None,Parents,1,1,NKJ_RSRV_X_X_ASG_SRC_DMT_GSRC_DCC_TXT_ROS_CQ-XX-XX-XX_Parents_1x1_0906-0914,Pre-Premiere,MC-0906-0914,NKJ_RSRV_X_PPR_GSRC_1x1_MC-0906-0914,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,15s,09,06,09,14,NKJ_RSRV_X_PPR_MC_X_01_XX_1x1_0906-0914,/?xid=crm_NKJ_RSRV_X_GSRC
Nick Consumer Marketing,Welcome to the Wayne,N/A,Tune-In,X,2017,06,19,2017,09,21,NCM_WTHW_X_TI_X_20170619-20170921,ASG,Google Search,Dynamic CPC,Run of Site,X,NCM_WTHW_X_ASG_GSRC_DCC_ROS_X,E01,E01,X,Search,Desktop/Mobile/Tablet,Text Link,Behavioral,None,Behavioral,Behavioral,X,1,1,NCM_WTHW_X_X_ASG_SRC_DMT_GSRC_DCC_TXT_ROS_BT-XX-BT-BT_X_1x1_0619-0921,Pre-Premiere,X,NCM_WTHW_X_PPR_GSRC_1x1_X,Nick Consumer Marketing,I Am Frankie,N/A,This Week,X,01,Not Applicable,,09,05,09,16,NCM_WTHW_X_PPR_TW_X_01_XX_1x1_0905-0916,/?xid=crm_NCM_WTHW_X_GSRC
Nick Consumer Marketing,Nick Everyday,N/A,Tune-In,Q3,2017,07,02,2017,09,30,NCM_NEVD_X_TI_Q3_20170702-20170930,ASG,YouTube,CPM,Run of Site,Bumpers,NCM_NEVD_X_ASG_YTBE_CPM_ROS_Bumpers,,,Bumpers,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,Contextual,None,None,X,,,NCM_NEVD_X_Bumpers_ASG_VID_DMT_YTBE_CPM_NSV_ROS_BT-CT-XX-XX_X_X_0702-0930,Always On,Bumpers,NCM_NEVD_X_AON_YTBE_X_Bumpers,Nick Consumer Marketing,I Am Frankie,S01,Weeknights ,X,01,Not Applicable,05s,09,11,09,13,,/?xid=crm_NCM_NEVD_X_YTBE
Nick Consumer Marketing,Nick Everyday,N/A,Tune-In,Q3,2017,07,01,2017,09,30,NCM_NEVD_X_TI_Q3_20170701-20170930,ASG,Battery Pop,CPM,Run of Site,X,NCM_NEVD_X_ASG_BYPP_CPM_ROS_X,,,X,Video,Connected TV,Non-Skippable Video,Contextual,Day Parting,None,None,Gaming,,,NCM_NEVD_X_X_ASG_VID_CXX_BYPP_CPM_NSV_ROS_CT-DP-XX-XX_Gaming_X_0701-0930,Always On,X,NCM_NEVD_X_AON_BYPP_X_X,Nick Consumer Marketing,Welcome to the Wayne,S01,Now,Sept11,01,Not Applicable,30s,09,11,09,13,NCM_NEVD_X_AON_NW_NCM-WTHW-S01-Sept11_01_XX_30s_0911-0913,/?xid=crm_NCM_NEVD_X_BYPP
Nick Consumer Marketing,Henry Danger,S03,Tune-In,X,2017,09,05,2017,09,30,NCM_HYDG_S03_TI_X_20170905-20170930,ASG,Vistar Media,CPM,Run of Exchange,X,NCM_HYDG_S03_ASG_VSTM_CPM_ROE_X,E01,E03,X,Display Banner,Digital Billboard,Digital Out of Home,Geographic,None,None,None,X,1,1,,Pre-Premiere,X,NCM_HYDG_S03_PPR_VSTM_1x1_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),Chicago,01,Not Applicable,,09,05,09,30,,/?xid=crm_NCM_HYDG_S03_VSTM
Comedy Central,South Park,S21,Tune-In,X,2017,09,11,2017,12,06,CCL_STPK_S21_TI_X_20170911-20171206,ASG,Snapchat,Dynamic CPM,Run of Site,X,CCL_STPK_S21_ASG_SNPC_DCI_ROS_X,E01,E02,X,Social,Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,CCL_STPK_S21_E01-E02_ASG_SOC_MTX_SNPC_DCI_NSV_ROS_BT-XX-XX-XX_X_X_0911-1206,Pre-Premiere,X,CCL_STPK_S21_PPR_SNPC_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,10s,09,11,09,20,CCL_STPK_S21_PPR_MC_X_01_XX_10s_0911-0920,/?xrs=crm_CCL_STPK_S21_SNPC
